bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,genre,description,book_type,popularity_level,target_age_group,mood
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,689840926,9.78069E+12,English,208,270244,12017,01-04-2000,Atheneum Books for Young Readers: Richard Jackson Books,Fantasy,"Set in a world where unusual powers and hidden forces shape everyday life, the story follows characters who move between danger and wonder. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes,4,1557344493,9.78156E+12,English,48,36,2,28-08-1994,Teacher Created Resources,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about. Much of the movement in the story feels like a journey, with each step revealing new lessons and consequences.",Novel,Low,All Ages,Adventurous
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,385326505,9.78039E+12,English,144,2067,334,23-01-2001,Delacorte Press,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Story collection,High,All Ages,Happy
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,9.78158E+12,English,56,6,Currently not available,10-06-2003,Cherry Lane Music Company,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Low,All Ages,Happy
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,9.7816E+12,English (US),228,99,16,01-11-2005,The New Press,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Low,All Ages,Happy
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight,3.76,1595962808,9.7816E+12,English,304,167,4,01-11-2005,Changeling Press,"Family, Family Drama","Family ties, generational conflicts, and unspoken expectations shape many of the key turning points in the storyline. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Medium,All Ages,Emotional
58,Changeling (Changeling  #1),Delia Sherman,3.6,670059676,9.78067E+12,English,256,978,111,17-08-2006,Viking Juvenile,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,High,All Ages,Happy
59,The Changeling Sea,Patricia A. McKillip,4.06,141312629,9.78014E+12,English,137,4454,302,14-04-2003,Firebird,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,High,All Ages,Happy
61,The Changeling,Zilpha Keatley Snyder,4.17,595321801,9.7806E+12,English,228,1176,96,08-06-2004,iUniverse,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,High,All Ages,Happy
63,The Changeling,Kate Horsley,3.55,1590301943,9.78159E+12,English,339,301,43,12-04-2005,Shambhala,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Medium,All Ages,Happy
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,449146979,9.78045E+12,English,369,345,12,28-08-1990,Ivy Books,"Family, Family Drama","Family ties, generational conflicts, and unspoken expectations shape many of the key turning points in the storyline. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Medium,All Ages,Emotional
67,The Known World,Edward P. Jones,3.83,61159174,9.78006E+12,English,388,29686,2626,29-08-2006,Amistad,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy
68,The Known World,Edward P. Jones,3.83,6076273,9.78006E+12,English (US),14,55,12,15-06-2004,HarperAudio,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Low,All Ages,Happy
69,The Known World,Edward P. Jones,3.83,60749911,9.78006E+12,English,576,22,3,15-06-2004,Harper,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Low,All Ages,Happy
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,273704745,9.78027E+12,English,334,1456,82,15-05-2006,FT Press,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,High,All Ages,Happy
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,9.78193E+12,English,352,52,4,14-12-2005,Archaia,Adventure,"Travel, risk, and unfamiliar places push the characters to adapt, forcing them to rely on courage and quick decisions. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Low,All Ages,Adventurous
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee,4.42,374517193,9.78037E+12,English,416,562,37,01-06-1982,Farrar  Straus and Giroux,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Medium,All Ages,Happy
75,Uncommon Carriers,John McPhee,3.95,374280398,9.78037E+12,English (US),248,1630,203,16-05-2006,Farrar Straus Giroux,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,High,All Ages,Happy
76,Heirs of General Practice,John McPhee,4.17,374519749,9.78037E+12,English,128,268,22,01-04-1986,Farrar  Straus and Giroux,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Medium,All Ages,Happy
77,The Control of Nature,John McPhee,4.24,374522596,9.78037E+12,English (US),288,3498,305,01-09-1990,Farrar  Straus and Giroux,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,High,All Ages,Happy
78,Annals of the Former World,John McPhee,4.34,374518734,9.78037E+12,English,720,3115,228,06-01-1999,Farrar  Straus and Giroux,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,High,All Ages,Happy
79,Coming Into the Country,John McPhee,4.22,374522871,9.78037E+12,English,448,5704,261,01-04-1991,Farrar  Straus and Giroux,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy
80,La Place de la Concorde Suisse,John McPhee,3.92,374519323,9.78037E+12,French,160,698,52,01-04-1994,Farrar  Straus and Giroux,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Medium,All Ages,Happy
81,Giving Good Weight,John McPhee,4.23,374516006,9.78037E+12,English,288,542,36,01-04-1994,Farrar  Straus and Giroux,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Medium,All Ages,Happy
83,Rising from the Plains,John McPhee,4.23,374520658,9.78037E+12,English,208,1341,98,01-11-1987,Farrar  Straus and Giroux,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,High,All Ages,Happy
85,The Heidi Chronicles,Wendy Wasserstein,3.75,822205106,9.78082E+12,English,81,1423,70,01-03-2002,Dramatists Play Service,Fantasy,"Set in a world where unusual powers and hidden forces shape everyday life, the story follows characters who move between danger and wonder. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,High,All Ages,Happy
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,679734996,9.78068E+12,English,249,2766,64,02-07-1991,Vintage,Fantasy,"Set in a world where unusual powers and hidden forces shape everyday life, the story follows characters who move between danger and wonder. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,High,All Ages,Happy
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,9.7816E+12,English,138,31,1,29-03-2006,Routledge,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Low,All Ages,Happy
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740,9.78158E+12,English (US),128,62,4,14-03-2006,North Light Books,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Low,All Ages,Happy
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker,4.46,800793617,9.7808E+12,English,192,860,53,01-09-2003,Chosen Books,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,High,All Ages,Happy
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,871202867,9.78087E+12,English (US),108,77,2,28-01-1997,Association for Supervision & Curriculum Development,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Low,All Ages,Happy
93,Heidi (Heidi  #1-2),Johanna Spyri,3.99,753454947,9.78075E+12,English,352,153317,2257,15-11-2002,Kingfisher,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,871209993,9.78087E+12,English,192,55,5,15-11-2004,ASCD,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Low,All Ages,Happy
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker,4.46,1852402873,9.78185E+12,English,192,34,6,28-04-2003,Sovereign World,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Low,All Ages,Happy
