bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,genre,description,book_type,popularity_level,target_age_group,mood,title_clean,title_lower,author_clean
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,739322206,9780740000000.0,English,6,1266.0,253,23-03-2005,Random House Audio,"Non-fiction, Self-Help","Rather than focusing only on events, the book invites the reader to reflect on choices, habits, and perspectives that influence real life. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about. Much of the movement in the story feels like a journey, with each step revealing new lessons and consequences.",Novel,High,All Ages,Adventurous,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),the hitchhiker's guide to the galaxy (hitchhiker's guide to the galaxy  #1),douglasadams
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517149257,9780520000000.0,English,815,2877.0,195,17-01-1996,Wings Books,"Non-fiction, Self-Help","Rather than focusing only on events, the book invites the reader to reflect on choices, habits, and perspectives that influence real life. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about. Much of the movement in the story feels like a journey, with each step revealing new lessons and consequences.",Novel,High,All Ages,Adventurous,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),the ultimate hitchhiker's guide (hitchhiker's guide to the galaxy  #1-5),douglasadams
21,A Short History of Nearly Everything,Bill Bryson,4.21,76790818,9780770000000.0,English,544,248558.0,9396,14-09-2004,Broadway Books,"History, Non-fiction","Events unfold against a backdrop of conflict or historical change, where power, survival, and loyalty become difficult to balance. Rather than focusing only on events, the book invites the reader to reflect on choices, habits, and perspectives that influence real life. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy,A Short History of Nearly Everything,a short history of nearly everything,billbryson
22,Bill Bryson's African Diary,Bill Bryson,3.44,767915062,9780770000000.0,English,55,7270.0,499,03-12-2002,Broadway Books,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy,Bill Bryson's African Diary,bill bryson's african diary,billbryson
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,767910435,9780770000000.0,English,256,2088.0,131,14-09-2004,Broadway Books,"Non-fiction, Self-Help","Rather than focusing only on events, the book invites the reader to reflect on choices, habits, and perspectives that influence real life. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about. Much of the movement in the story feels like a journey, with each step revealing new lessons and consequences.",Novel,High,All Ages,Adventurous,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,bryson's dictionary of troublesome words: a writer's guide to getting it right,billbryson
24,In a Sunburned Country,Bill Bryson,4.07,767903862,9780770000000.0,English,335,72451.0,4245,15-05-2001,Broadway Books,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy,In a Sunburned Country,in a sunburned country,billbryson
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,76790382,9780770000000.0,English,304,49240.0,2211,28-06-2000,Broadway Books,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,i'm a stranger here myself: notes on returning to america after twenty years away,billbryson
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,60920084,9780060000000.0,English,299,45712.0,2257,28-08-1990,William Morrow Paperbacks,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy,The Lost Continent: Travels in Small Town America,the lost continent: travels in small town america,billbryson
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,380713802,9780380000000.0,English,254,48701.0,2238,28-03-1993,William Morrow Paperbacks,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy,Neither Here nor There: Travels in Europe,neither here nor there: travels in europe,billbryson
28,Notes from a Small Island,Bill Bryson,3.91,380727501,9780380000000.0,English,324,80609.0,3301,28-05-1997,William Morrow Paperbacks,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy,Notes from a Small Island,notes from a small island,billbryson
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,380715430,9780380000000.0,English,270,28489.0,2085,28-09-1991,William Morrow Paperbacks,"Family, Family Drama","Family ties, generational conflicts, and unspoken expectations shape many of the key turning points in the storyline. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Emotional,The Mother Tongue: English and How It Got That Way,the mother tongue: english and how it got that way,billbryson
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,345538374,9780350000000.0,English,1728,101233.0,1550,25-09-2012,Ballantine Books,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,j.r.r. tolkien 4-book boxed set: the hobbit and the lord of the rings,jrrtolkien
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,618517650,9780620000000.0,English,1184,1710.0,91,21-10-2004,Houghton Mifflin Harcourt,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,High,All Ages,Happy,The Lord of the Rings (The Lord of the Rings  #1-3),the lord of the rings (the lord of the rings  #1-3),jrrtolkien
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,618346252,9780620000000.0,English,398,2128944.0,13670,05-09-2003,Houghton Mifflin Harcourt,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy,The Fellowship of the Ring (The Lord of the Rings  #1),the fellowship of the ring (the lord of the rings  #1),jrrtolkien
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,618260587,9780620000000.0,English (US),1216,1618.0,140,01-10-2002,Houghton Mifflin Harcourt,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,High,All Ages,Happy,The Lord of the Rings (The Lord of the Rings  #1-3),the lord of the rings (the lord of the rings  #1-3),jrrtolkien
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith,4.53,618391002,9780620000000.0,English,218,19822.0,46,05-11-2003,Houghton Mifflin Harcourt,"Historical, War","Events unfold against a backdrop of conflict or historical change, where power, survival, and loyalty become difficult to balance. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy,The Lord of the Rings: Weapons and Warfare,the lord of the rings: weapons and warfare,chrissmith
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,618510826,9780620000000.0,English,224,359.0,6,15-11-2004,Houghton Mifflin Harcourt,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Medium,All Ages,Happy,The Lord of the Rings: Complete Visual Companion,the lord of the rings: complete visual companion,judefisher
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas,3.84,97669400,9780980000000.0,English,558,1430.0,59,28-07-2005,Pragmatic Bookshelf,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about. Much of the movement in the story feels like a journey, with each step revealing new lessons and consequences.",Novel,High,All Ages,Adventurous,Agile Web Development with Rails: A Pragmatic Guide,agile web development with rails: a pragmatic guide,davethomas
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,689840926,9780690000000.0,English,208,270244.0,12017,01-04-2000,Atheneum Books for Young Readers: Richard Jackson Books,Fantasy,"Set in a world where unusual powers and hidden forces shape everyday life, the story follows characters who move between danger and wonder. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy,Hatchet (Brian's Saga  #1),hatchet (brian's saga  #1),garypaulsen
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes,4.0,1557344493,9781560000000.0,English,48,36.0,2,28-08-1994,Teacher Created Resources,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about. Much of the movement in the story feels like a journey, with each step revealing new lessons and consequences.",Novel,Low,All Ages,Adventurous,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom","hatchet: a guide for using ""hatchet"" in the classroom",donnaickes
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,385326505,9780390000000.0,English,144,2067.0,334,23-01-2001,Delacorte Press,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Story collection,High,All Ages,Happy,Guts: The True Stories behind Hatchet and the Brian Books,guts: the true stories behind hatchet and the brian books,garypaulsen
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,9781580000000.0,English,56,6.0,Currently not available,10-06-2003,Cherry Lane Music Company,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Low,All Ages,Happy,Molly Hatchet - 5 of the Best,molly hatchet - 5 of the best,mollyhatchet
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,9781600000000.0,English (US),228,99.0,16,01-11-2005,The New Press,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Low,All Ages,Happy,Hatchet Jobs: Writings on Contemporary Fiction,hatchet jobs: writings on contemporary fiction,dalepeck
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight,3.76,1595962808,9781600000000.0,English,304,167.0,4,01-11-2005,Changeling Press,"Family, Family Drama","Family ties, generational conflicts, and unspoken expectations shape many of the key turning points in the storyline. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Medium,All Ages,Emotional,A Changeling for All Seasons (Changeling Seasons #1),a changeling for all seasons (changeling seasons #1),angelaknight
58,Changeling (Changeling  #1),Delia Sherman,3.6,670059676,9780670000000.0,English,256,978.0,111,17-08-2006,Viking Juvenile,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,High,All Ages,Happy,Changeling (Changeling  #1),changeling (changeling  #1),deliasherman
59,The Changeling Sea,Patricia A. McKillip,4.06,141312629,9780140000000.0,English,137,4454.0,302,14-04-2003,Firebird,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,High,All Ages,Happy,The Changeling Sea,the changeling sea,patriciaamckillip
61,The Changeling,Zilpha Keatley Snyder,4.17,595321801,9780600000000.0,English,228,1176.0,96,08-06-2004,iUniverse,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,High,All Ages,Happy,The Changeling,the changeling,zilphakeatleysnyder
63,The Changeling,Kate Horsley,3.55,1590301943,9781590000000.0,English,339,301.0,43,12-04-2005,Shambhala,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Medium,All Ages,Happy,The Changeling,the changeling,katehorsley
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,449146979,9780450000000.0,English,369,345.0,12,28-08-1990,Ivy Books,"Family, Family Drama","Family ties, generational conflicts, and unspoken expectations shape many of the key turning points in the storyline. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Medium,All Ages,Emotional,The Changeling (Daughters of England  #15),the changeling (daughters of england  #15),philippacarr
67,The Known World,Edward P. Jones,3.83,61159174,9780060000000.0,English,388,29686.0,2626,29-08-2006,Amistad,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy,The Known World,the known world,edwardpjones
68,The Known World,Edward P. Jones,3.83,6076273,9780060000000.0,English (US),14,55.0,12,15-06-2004,HarperAudio,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Low,All Ages,Happy,The Known World,the known world,edwardpjones
69,The Known World,Edward P. Jones,3.83,60749911,9780060000000.0,English,576,22.0,3,15-06-2004,Harper,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Low,All Ages,Happy,The Known World,the known world,edwardpjones
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,273704745,9780270000000.0,English,334,1456.0,82,15-05-2006,FT Press,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,High,All Ages,Happy,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,traders  guns & money: knowns and unknowns in the dazzling world of derivatives,satyajitdas
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,9781930000000.0,English,352,52.0,4,14-12-2005,Archaia,Adventure,"Travel, risk, and unfamiliar places push the characters to adapt, forcing them to rely on courage and quick decisions. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Low,All Ages,Adventurous,Artesia: Adventures in the Known World,artesia: adventures in the known world,marksmylie
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee,4.42,374517193,9780370000000.0,English,416,562.0,37,01-06-1982,Farrar  Straus and Giroux,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Medium,All Ages,Happy,The John McPhee Reader (John McPhee Reader  #1),the john mcphee reader (john mcphee reader  #1),johnmcphee
75,Uncommon Carriers,John McPhee,3.95,374280398,9780370000000.0,English (US),248,1630.0,203,16-05-2006,Farrar Straus Giroux,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,High,All Ages,Happy,Uncommon Carriers,uncommon carriers,johnmcphee
76,Heirs of General Practice,John McPhee,4.17,374519749,9780370000000.0,English,128,268.0,22,01-04-1986,Farrar  Straus and Giroux,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Medium,All Ages,Happy,Heirs of General Practice,heirs of general practice,johnmcphee
77,The Control of Nature,John McPhee,4.24,374522596,9780370000000.0,English (US),288,3498.0,305,01-09-1990,Farrar  Straus and Giroux,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,High,All Ages,Happy,The Control of Nature,the control of nature,johnmcphee
78,Annals of the Former World,John McPhee,4.34,374518734,9780370000000.0,English,720,3115.0,228,06-01-1999,Farrar  Straus and Giroux,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,High,All Ages,Happy,Annals of the Former World,annals of the former world,johnmcphee
79,Coming Into the Country,John McPhee,4.22,374522871,9780370000000.0,English,448,5704.0,261,01-04-1991,Farrar  Straus and Giroux,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy,Coming Into the Country,coming into the country,johnmcphee
80,La Place de la Concorde Suisse,John McPhee,3.92,374519323,9780370000000.0,French,160,698.0,52,01-04-1994,Farrar  Straus and Giroux,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Medium,All Ages,Happy,La Place de la Concorde Suisse,la place de la concorde suisse,johnmcphee
